KOTA,TANGGAL,SUHU MAX ,,,731,rand
Delhi,07/12/2023,24.01,,,,
Delhi,08/12/2023,23.08,,,,
Delhi,09/12/2023,23.04,,,,
Delhi,10/12/2023,22.06,,,,
Delhi,11/12/2023,21.09,,,,
Delhi,12/12/2023,22.08,,,,
Delhi,13/12/2023,22.07,,,,
Delhi,14/12/2023,22.01,,,,
Delhi,15/12/2023,21.08,,,,
Delhi,16/12/2023,22.03,,,,
Delhi,17/12/2023,22.05,,,,
Delhi,18/12/2023,21.06,,,,
Delhi,19/12/2023,21.06,,,,
Delhi,20/12/2023,20.05,,,,
Delhi,21/12/2023,21.05,,,,
Delhi,22/12/2023,21.02,,,,
Delhi,23/12/2023,22,,,,
Delhi,24/12/2023,22.07,,,,
Delhi,25/12/2023,22.09,,,,
Delhi,26/12/2023,22.03,,,,
Delhi,27/12/2023,21.05,,,,
Delhi,28/12/2023,20.07,,,,
Delhi,29/12/2023,19.08,,,,
Delhi,30/12/2023,18.04,,,,
Delhi,31/12/2023,18.04,,,,
Delhi,01/01/2024,16.01,,,,
Delhi,02/01/2024,15,,,,
Delhi,03/01/2024,15.04,,,,
Delhi,04/01/2024,17.05,,,,
Delhi,05/01/2024,17.01,,,,
Delhi,06/01/2024,16.09,,,,
Delhi,07/01/2024,17.04,,,,
Delhi,08/01/2024,18.04,,,,
Delhi,09/01/2024,18,,,,
Delhi,10/01/2024,15.09,,,,
Delhi,11/01/2024,15.03,,,,
Delhi,12/01/2024,17.04,,,,
Delhi,13/01/2024,17.08,,,,
Delhi,14/01/2024,17.07,,,,
Delhi,15/01/2024,15.08,,,,
Delhi,16/01/2024,17,,,,
Delhi,17/01/2024,17.08,,,,
Delhi,18/01/2024,17.04,,,,
Delhi,19/01/2024,16.04,,,,
Delhi,20/01/2024,15.08,,,,
Delhi,21/01/2024,16,,,,
Delhi,22/01/2024,16.05,,,,
Delhi,23/01/2024,17.02,,,,
Delhi,24/01/2024,18.01,,,,
Delhi,25/01/2024,17.02,,,,
Delhi,26/01/2024,18.03,,,,
Delhi,27/01/2024,20.04,,,,
Delhi,28/01/2024,20.01,,,,
Delhi,29/01/2024,21.02,,,,
Delhi,30/01/2024,20.03,,,,
Delhi,31/01/2024,19.09,,,,
Delhi,01/02/2024,21,,,,
Delhi,02/02/2024,19.02,,,,
Delhi,03/02/2024,20.04,,,,
Delhi,04/02/2024,21.01,,,,
Delhi,05/02/2024,19.07,,,,
Delhi,06/02/2024,18.06,,,,
Delhi,07/02/2024,18.03,,,,
Delhi,08/02/2024,19,,,,
Delhi,09/02/2024,20.04,,,,
Delhi,10/02/2024,19.07,,,,
Delhi,11/02/2024,21.04,,,,
Delhi,12/02/2024,21.05,,,,
Delhi,13/02/2024,21,,,,
Delhi,14/02/2024,22.06,,,,
Delhi,15/02/2024,23.07,,,,
Delhi,16/02/2024,24.04,,,,
Delhi,17/02/2024,24.06,,,,
Delhi,18/02/2024,27.05,,,,
Delhi,19/02/2024,27.02,,,,
Delhi,20/02/2024,27.04,,,,
Delhi,21/02/2024,26.01,,,,
Delhi,22/02/2024,24.02,,,,
Delhi,23/02/2024,23,,,,
Delhi,24/02/2024,23.01,,,,
Delhi,25/02/2024,25,,,,
Delhi,26/02/2024,24.05,,,,
Delhi,27/02/2024,24.03,,,,
Delhi,28/02/2024,24.03,,,,
Delhi,29/02/2024,26.04,,,,
Delhi,01/03/2024,26.06,,,,
Delhi,02/03/2024,25.02,,,,
Delhi,03/03/2024,22.02,,,,
Delhi,04/03/2024,21.02,,,,
Delhi,05/03/2024,20.05,,,,
Delhi,06/03/2024,21,,,,
Delhi,07/03/2024,23.08,,,,
Delhi,08/03/2024,25.01,,,,
Delhi,09/03/2024,25.01,,,,
Delhi,10/03/2024,26.03,,,,
Delhi,11/03/2024,29.03,,,,
Delhi,12/03/2024,29.02,,,,
Delhi,13/03/2024,29.02,,,,
Delhi,14/03/2024,29,KEZIA,,,
Delhi,15/03/2024,27.04,,,,
Delhi,16/03/2024,27.06,,,,
Delhi,17/03/2024,28.08,,,,
Delhi,18/03/2024,28.04,,,,
Delhi,19/03/2024,29.09,,,,
Delhi,20/03/2024,32.01,,,,
Delhi,21/03/2024,29.04,,,,
Delhi,22/03/2024,32.06,,,,
Delhi,23/03/2024,33.09,,,,
Delhi,24/03/2024,31.03,,,,
Delhi,25/03/2024,33,,,,
Delhi,26/03/2024,33.05,,,,
Delhi,27/03/2024,36.02,,,,
Delhi,28/03/2024,36.08,,,,
Delhi,29/03/2024,36.01,,,,
Delhi,30/03/2024,34.08,,,,
Delhi,31/03/2024,34.05,,,,
Delhi,01/04/2024,31.07,,,,
Delhi,02/04/2024,33,,,,
Delhi,03/04/2024,35.06,,,,
Delhi,04/04/2024,36.03,,,,
Delhi,05/04/2024,35.09,,,,
Delhi,06/04/2024,35.01,,,,
Delhi,07/04/2024,35.04,,,,
Delhi,08/04/2024,36.09,,,,
Delhi,09/04/2024,37.07,,,,
Delhi,10/04/2024,37.07,,,,
Delhi,11/04/2024,38.01,,,,
Delhi,12/04/2024,38.06,,,,
Delhi,13/04/2024,38.06,,,,
Delhi,14/04/2024,33.06,,,,
Delhi,15/04/2024,36.02,,,,
Delhi,16/04/2024,35.07,,,,
Delhi,17/04/2024,35.06,,,,
Delhi,18/04/2024,37.09,,,,
Delhi,19/04/2024,38.03,,,,
Delhi,20/04/2024,36.04,,,,
Delhi,21/04/2024,36.06,,,,
Delhi,22/04/2024,37.02,,,,
Delhi,23/04/2024,37.09,,,,
Delhi,24/04/2024,37.01,,,,
Delhi,25/04/2024,38.03,,,,
Delhi,26/04/2024,39.04,,,,
Delhi,27/04/2024,38.01,,,,
Delhi,28/04/2024,37.06,,,,
Delhi,29/04/2024,38.01,,,,
Delhi,30/04/2024,36.03,,,,
Delhi,01/05/2024,32.06,,,,
Delhi,02/05/2024,35.01,,,,
Delhi,03/05/2024,38.02,,,,
Delhi,04/05/2024,40.07,,,,
Delhi,05/05/2024,41.01,,,,
Delhi,06/05/2024,40.07,,,,
Delhi,07/05/2024,41.04,,,,
Delhi,08/05/2024,39.06,,,,
Delhi,09/05/2024,39.06,,,,
Delhi,10/05/2024,39,,,,
Delhi,11/05/2024,38.07,,,,
Delhi,12/05/2024,37.05,,,,
Delhi,13/05/2024,40.08,,,,
Delhi,14/05/2024,40.07,,,,
Delhi,15/05/2024,42.05,,,,
Delhi,16/05/2024,42.05,,,,
Delhi,17/05/2024,44.02,,,,
Delhi,18/05/2024,44.03,,,,
Delhi,19/05/2024,45.04,,,,
Delhi,20/05/2024,44.02,,,,
Delhi,21/05/2024,43,,,,
Delhi,22/05/2024,42.02,,,,
Delhi,23/05/2024,41.03,,,,
Delhi,24/05/2024,40.08,,,,
Delhi,25/05/2024,44.08,,,,
Delhi,26/05/2024,46.03,,,,
Delhi,27/05/2024,46,,,,
Delhi,28/05/2024,46.04,,,,
Delhi,29/05/2024,46,,,,
Delhi,30/05/2024,46.03,,,,
Delhi,31/05/2024,46.01,,,,
Delhi,01/06/2024,44.05,,,,
Delhi,02/06/2024,41.09,,,,
Delhi,03/06/2024,44.07,,,,
Delhi,04/06/2024,43.05,,,,
Delhi,05/06/2024,41.09,,,,
Delhi,06/06/2024,41,,,,
Delhi,07/06/2024,42.04,,,,
Delhi,08/06/2024,40.01,,,,
Delhi,09/06/2024,42.05,,,,
Delhi,10/06/2024,43.02,,,,
Delhi,11/06/2024,43.05,,,,
Delhi,12/06/2024,44.05,,,,
Delhi,13/06/2024,45.01,,,,
Delhi,14/06/2024,43.07,,,,
Delhi,15/06/2024,43.06,,,,
Delhi,16/06/2024,44.04,,,,
Delhi,17/06/2024,44.04,,,,
Delhi,18/06/2024,44.04,,,,
Delhi,19/06/2024,41.01,,,,
Delhi,20/06/2024,38.08,,,,
Delhi,21/06/2024,38,,,,
Delhi,22/06/2024,38.01,,,,
Delhi,23/06/2024,39.02,,,,
Delhi,24/06/2024,39.02,,,,
Delhi,25/06/2024,37,,,,
Delhi,26/06/2024,33.09,,,,
Delhi,27/06/2024,30.02,,,,
Delhi,28/06/2024,30.09,,,,
Delhi,29/06/2024,32.06,,,,
Delhi,30/06/2024,34.07,,,,
Delhi,01/07/2024,34.06,,,,
Delhi,02/07/2024,33.06,,,,
Delhi,03/07/2024,33.02,,,,
Delhi,04/07/2024,31.07,,,,
Delhi,05/07/2024,30.01,,,,
Delhi,06/07/2024,32.07,,,,
Delhi,07/07/2024,33.04,,,,
Delhi,08/07/2024,33,,,,
Delhi,09/07/2024,32.06,,,,
Delhi,10/07/2024,34.01,,,,
Delhi,11/07/2024,36.04,,,,
Delhi,12/07/2024,35.04,,,,
Delhi,13/07/2024,34,,,,
Delhi,14/07/2024,34.08,,,,
Delhi,15/07/2024,33.01,,,,
Delhi,16/07/2024,34.01,,,,
Delhi,17/07/2024,34.05,,,,
Delhi,18/07/2024,34.06,,,,
Delhi,19/07/2024,34.05,,,,
Delhi,20/07/2024,35.01,,,,
Delhi,21/07/2024,34.09,,,,
Delhi,22/07/2024,34.07,,,,
Delhi,23/07/2024,34.08,,,,
Delhi,24/07/2024,33.06,,,,
Delhi,25/07/2024,34.08,,,,
Delhi,26/07/2024,33.03,,,,
Delhi,27/07/2024,34.03,,,,
Delhi,28/07/2024,35.04,,,,
Delhi,29/07/2024,36.04,,,,
Delhi,30/07/2024,37.04,,,,
Delhi,31/07/2024,37.04,,,,
Delhi,01/08/2024,31.04,,,,
Delhi,02/08/2024,32.02,,,,
Delhi,03/08/2024,32.03,,,,
Delhi,04/08/2024,33.07,,,,
Delhi,05/08/2024,32.07,,,,
Delhi,06/08/2024,32,,,,
Delhi,07/08/2024,30,AISYAH,,,
Delhi,08/08/2024,31.07,,,,
Delhi,09/08/2024,31.09,,,,
Delhi,10/08/2024,31.03,,,,
Delhi,11/08/2024,31.04,,,,
Delhi,12/08/2024,29.09,,,,
Delhi,13/08/2024,30.05,,,,
Delhi,14/08/2024,30.03,,,,
Delhi,15/08/2024,32.03,,,,
Delhi,16/08/2024,32.04,,,,
Delhi,17/08/2024,31.09,,,,
Delhi,18/08/2024,32.08,,,,
Delhi,19/08/2024,33,,,,
Delhi,20/08/2024,31.06,,,,
Delhi,21/08/2024,32,,,,
Delhi,22/08/2024,32.07,,,,
Delhi,23/08/2024,31.02,,,,
Delhi,24/08/2024,31.09,,,,
Delhi,25/08/2024,32.09,,,,
Delhi,26/08/2024,32.01,,,,
Delhi,27/08/2024,31.04,,,,
Delhi,28/08/2024,30.05,,,,
Delhi,29/08/2024,31.01,,,,
Delhi,30/08/2024,31.04,,,,
Delhi,31/08/2024,33.04,,,,
Delhi,01/09/2024,33.07,,,,
Delhi,02/09/2024,31.06,,,,
Delhi,03/09/2024,31.08,,,,
Delhi,04/09/2024,30.08,,,,
Delhi,05/09/2024,31.07,,,,
Delhi,06/09/2024,30.08,,,,
Delhi,07/09/2024,30.03,,,,
Delhi,08/09/2024,31.04,,,,
Delhi,09/09/2024,32.08,,,,
Delhi,10/09/2024,30.05,,,,
Delhi,11/09/2024,31.06,,,,
Delhi,12/09/2024,27.05,,,,
Delhi,13/09/2024,30.07,,,,
Delhi,14/09/2024,29.09,,,,
Delhi,15/09/2024,31.03,,,,
Delhi,16/09/2024,32.04,,,,
Delhi,17/09/2024,31.07,,,,
Delhi,18/09/2024,28.01,,,,
Delhi,19/09/2024,29.08,,,,
Delhi,20/09/2024,31.04,,,,
Delhi,21/09/2024,31.08,,,,
Delhi,22/09/2024,33.02,,,,
Delhi,23/09/2024,33.05,,,,
Delhi,24/09/2024,33.06,,,,
Delhi,25/09/2024,33.01,,,,
Delhi,26/09/2024,31.04,,,,
Delhi,27/09/2024,31,,,,
Delhi,28/09/2024,30.06,,,,
Delhi,29/09/2024,30.08,,,,
Delhi,30/09/2024,33,,,,
Delhi,01/10/2024,33.06,,,,
Delhi,02/10/2024,35.02,,,,
Delhi,03/10/2024,34.04,,,,
Delhi,04/10/2024,33.09,,,,
Delhi,05/10/2024,34.01,,,,
Delhi,06/10/2024,34.02,,,,
Delhi,07/10/2024,32.09,,,,
Delhi,08/10/2024,33.02,,,,
Delhi,09/10/2024,32.09,,,,
Delhi,10/10/2024,33.02,,,,
Delhi,11/10/2024,32.05,,,,
Delhi,12/10/2024,32.08,,,,
Delhi,13/10/2024,32.08,,,,
Delhi,14/10/2024,32.04,,,,
Delhi,15/10/2024,32.07,,,,
Delhi,16/10/2024,33,,,,
Delhi,17/10/2024,33.07,,,,
Delhi,18/10/2024,34.01,,,,
Delhi,19/10/2024,34.04,,,,
Delhi,20/10/2024,33.06,,,,
Delhi,21/10/2024,32.08,,,,
Delhi,22/10/2024,31.09,,,,
Delhi,23/10/2024,32.08,,,,
Delhi,24/10/2024,33.01,,,,
Delhi,25/10/2024,32.07,,,,
Delhi,26/10/2024,32,,,,
Delhi,27/10/2024,31.06,,,,
Delhi,28/10/2024,31.09,,,,
